text,is_scam
0.0,0
0.0,0
0.375,0
1.0,0
1.0,0
0.1,0
0.9090909091,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.8333333333,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.6551724138,0
0.0,0
1.0,0
0.0,0
0.0,0
0.75,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.7777777778,0
0.0,0
0.5,0
0.0,0
0.7142857143,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.75,0
0.8,0
0.0,0
0.0,0
0.0,0
0.25,0
0.0,0
0.0,0
0.0,0
0.0,0
0.75,0
1.0,0
0.8571428571,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.8571428571,0
0.75,0
0.6666666667,0
0.0,0
0.0,0
0.0,0
0.0,0
0.347826087,0
0.0,0
0.5,0
0.9411764706,0
0.9141630901,0
0.0,0
1.0,0
0.8571428571,0
0.0,0
0.8571428571,0
0.8571428571,0
0.0,0
0.0,0
0.7777777778,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.75,0
0.0,0
0.0,0
0.0,0
0.9333333333,0
0.0909090909,0
0.0909090909,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.9090909091,0
1.0,0
0.0072992701,0
0.25,0
0.0072992701,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0027932961,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.5,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.6666666667,0
0.0,0
0.0,0
0.0,0
0.0,0
0.2236842105,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9230769231,0
